,기준금리(연%),가계대출금리(연%),소비자물가지수_총(2020=100),원화환율(원/달러),주택매매가격지수(2022.01=100),콜금리(연%),국고채3년금리(연%),경제성장률,실업률(%),외환보유액_총(천달러),외환보유액_금(천달러),외환보유액_특별인출권(천달러),외환보유액_IMF포지션(천달러),외환보유액_예치금및유가증권(천달러),기업대출(십억원),가계대출_총(십억원),가계대출_주택(십억원),가계대출_기타(십억원),국채(십억원)
1960-05-01,,,,,,,,4.5,,,,,,,,,,,
1960-06-01,,,,,,,,2.6333333333333337,,,,,,,,,,,
1960-07-01,,,,,,,,0.766666666666667,,,,,,,,,,,
1960-08-01,,,,,,,,-1.1,,,,,,,,,,,
1960-09-01,,,,,,,,-0.5333333333333333,,,,,,,,,,,
1960-10-01,,,,,,,,0.03333333333333344,,,,,,,,,,,
1960-11-01,,,,,,,,0.6,,,,,,,,,,,
1960-12-01,,,,,,,,1.4666666666666668,,,,,,,,,,,
1961-01-01,,,,,,,,2.3333333333333335,,,,,,,,,,,
1961-02-01,,,,,,,,3.2,,,,,,,,,,,
1961-03-01,,,,,,,,3.566666666666667,,,,,,,,,,,
1961-04-01,,,,,,,,3.933333333333333,,,,,,,,,,,
1961-05-01,,,,,,,,4.3,,,,,,,,,,,
1961-06-01,,,,,,,,2.2666666666666666,,,,,,,,,,,
1961-07-01,,,,,,,,0.2333333333333334,,,,,,,,,,,
1961-08-01,,,,,,,,-1.8,,,,,,,,,,,
1961-09-01,,,,,,,,-0.7666666666666666,,,,,,,,,,,
1961-10-01,,,,,,,,0.26666666666666683,,,,,,,,,,,
1961-11-01,,,,,,,,1.3,,,,,,,,,,,
1961-12-01,,,,,,,,1.5333333333333334,,,,,,,,,,,
1962-01-01,,,,,,,,1.7666666666666666,,,,,,,,,,,
1962-02-01,,,,,,,,2.0,,,,,,,,,,,
1962-03-01,,,,,,,,0.7,,,,,,,,,,,
1962-04-01,,,,,,,,-0.6000000000000001,,,,,,,,,,,
1962-05-01,,,,,,,,-1.9,,,,,,,,,,,
1962-06-01,,,,,,,,-0.30000000000000004,,,,,,,,,,,
1962-07-01,,,,,,,,1.2999999999999998,,,,,,,,,,,
1962-08-01,,,,,,,,2.9,,,,,,,,,,,
1962-09-01,,,,,,,,2.9,,,,,,,,,,,
1962-10-01,,,,,,,,2.9,,,,,,,,,,,
1962-11-01,,,,,,,,2.9,,,,,,,,,,,
1962-12-01,,,,,,,,3.9000000000000004,,,,,,,,,,,
1963-01-01,,,,,,,,4.9,,,,,,,,,,,
1963-02-01,,,,,,,,5.9,,,,,,,,,,,
1963-03-01,,,,,,,,3.1333333333333333,,,,,,,,,,,
1963-04-01,,,,,,,,0.36666666666666625,,,,,,,,,,,
1963-05-01,,,,,,,,-2.4,,,,,,,,,,,
1963-06-01,,,,,,,,-0.5000000000000002,,,,,,,,,,,
1963-07-01,,,,,,,,1.3999999999999995,,,,,,,,,,,
1963-08-01,,,,,,,,3.3,,,,,,,,,,,
1963-09-01,,,,,,,,2.2333333333333334,,,,,,,,,,,
1963-10-01,,,,,,,,1.1666666666666665,,,,,,,,,,,
1963-11-01,,,,,,,,0.1,,,,,,,,,,,
1963-12-01,,,,,,,,2.066666666666667,,,,,,,,,,,
1964-01-01,,,,,,,,4.033333333333333,,,,,,,,,,,
1964-02-01,,,,,,,,6.0,,,,,,,,,,,
1964-03-01,,,,,,,,3.033333333333333,,,,,,,,,,,
1964-04-01,,,,,,,,0.06666666666666643,,,,,,,,,,,
1964-05-01,,,,,,,,-2.9,,,,,,,,,,,
1964-06-01,,,,,,,,0.33333333333333304,,,,,,,,,,,
1964-07-01,,,,,,,,3.566666666666666,,,,,,,,,,,
1964-08-01,,,,,,,,6.8,,,,,,,,,,,
1964-09-01,,,,,,,,5.866666666666666,,,,,,,,,,,
1964-10-01,,,,,,,,4.933333333333334,,,,,,,,,,,
1964-11-01,,,,,,,,4.0,,,,,,,,,,,
1964-12-01,,,,,,,,3.1,,,,,,,,,,,
1965-01-01,,,,,,,,2.2,,,,,,,,,,,
1965-02-01,,,,,,,,1.3,,,,,,,,,,,
1965-03-01,,,,,,,,0.9333333333333333,,,,,,,,,,,
1965-04-01,,,,,,,,0.5666666666666667,,,,,,,,,,,
1965-05-01,,,,,,,,0.2,,,,,,,,,,,
1965-06-01,,,,,,,,-0.1333333333333333,,,,,,,,,,,
1965-07-01,,,,,,,,-0.4666666666666666,,,,,,,,,,,
1965-08-01,,,,,,,,-0.8,,,,,,,,,,,
1965-09-01,,,,,,,,0.23333333333333317,,,,,,,,,,,
1965-10-01,,,,,,,,1.2666666666666664,,,,,,,,,,,
1965-11-01,,,,,,,,2.3,,,,,,,,,,,
1965-12-01,,,,,,,,3.5666666666666664,,,,,,,,,,,
1966-01-01,,,,,,,,4.833333333333333,,,,,,,,,,,
1966-02-01,,,,,,,,6.1,,,,,,,,,,,
1966-03-01,,,,,,,,6.133333333333333,,,,,,,,,,,
1966-04-01,,,,,,,,6.166666666666667,,,,,,,,,,,
1966-05-01,,,,,,,,6.2,,,,,,,,,,,
1966-06-01,,,,,,,,3.566666666666667,,,,,,,,,,,
1966-07-01,,,,,,,,0.9333333333333336,,,,,,,,,,,
1966-08-01,,,,,,,,-1.7,,,,,,,,,,,
1966-09-01,,,,,,,,-0.7,,,,,,,,,,,
1966-10-01,,,,,,,,0.30000000000000004,,,,,,,,,,,
1966-11-01,,,,,,,,1.3,,,,,,,,,,,
1966-12-01,,,,,,,,2.0,,,,,,,,,,,
1967-01-01,,,,,,,,2.6999999999999997,,,,,,,,,,,
1967-02-01,,,,,,,,3.4,,,,,,,,,,,
1967-03-01,,,,,,,,2.966666666666667,,,,,,,,,,,
1967-04-01,,,,,,,,2.533333333333333,,,,,,,,,,,
1967-05-01,,,,,,,,2.1,,,,,,,,,,,
1967-06-01,,,,,,,,2.7666666666666666,,,,,,,,,,,
1967-07-01,,,,,,,,3.433333333333333,,,,,,,,,,,
1967-08-01,,,,,,,,4.1,,,,,,,,,,,
1967-09-01,,,,,,,,2.966666666666667,,,,,,,,,,,
1967-10-01,,,,,,,,1.8333333333333335,,,,,,,,,,,
1967-11-01,,,,,,,,0.7,,,,,,,,,,,
1967-12-01,,,,,,,,2.6,,,,,,,,,,,
1968-01-01,,,,,,,,4.5,,,,,,,,,,,
1968-02-01,,,,,,,,6.4,,,,,,,,,,,
1968-03-01,,,,,,,,4.766666666666667,,,,,,,,,,,
1968-04-01,,,,,,,,3.1333333333333333,,,,,,,,,,,
1968-05-01,,,,,,,,1.5,,,,,,,,,,,
1968-06-01,,,,,,,,2.7,,,,,,,,,,,
1968-07-01,,,,,,,,3.9,,,,,,,,,,,
1968-08-01,,,,,,,,5.1,,,,,,,,,,,
1968-09-01,,,,,,,,2.833333333333333,,,,,,,,,,,
1968-10-01,,,,,,,,0.5666666666666664,,,,,,,,,,,
1968-11-01,,,,,,,,-1.7,,,,,,,,,,,
1968-12-01,,,,,,,,0.5666666666666667,,,,,,,,,,,
1969-01-01,,,,,,,,2.833333333333333,,,,,,,,,,,
1969-02-01,,,,,,,,5.1,,,,,,,,,,,
1969-03-01,,,,,,,,4.566666666666666,,,,,,,,,,,
1969-04-01,,,,,,,,4.033333333333333,,,,,,,,,,,
1969-05-01,,,,,,,,3.5,,,,,,,,,,,
1969-06-01,,,,,,,,5.033333333333333,,,,,,,,,,,
1969-07-01,,,,,,,,6.566666666666666,,,,,,,,,,,
1969-08-01,,,,,,,,8.1,,,,,,,,,,,
1969-09-01,,,,,,,,6.066666666666666,,,,,,,,,,,
1969-10-01,,,,,,,,4.033333333333333,,,,,,,,,,,
1969-11-01,,,,,,,,2.0,,,,,,,,,,,
1969-12-01,,,,,,,,0.7666666666666666,,,,,,,,,,,
1970-01-01,,,,,,,,-0.4666666666666668,,,,,,,,,,,
1970-02-01,,,,,,,,-1.7,,,,,,,,,,,
1970-03-01,,,,,,,,0.20000000000000018,,,,,,,,,,,
1970-04-01,,,,,,,,2.1000000000000005,,,,,,,,,,,
1970-05-01,,,,,,,,4.0,,,,,,,,,,,
1970-06-01,,,,,,,,2.8666666666666667,,,,,,,,,,,
1970-07-01,,,,,,,,1.7333333333333334,,,,,,,,,,,
1970-08-01,,,,,,,,0.6,,,,,,,,,,,
1970-09-01,,,,,,,,2.966666666666667,,,,,,,,,,,
1970-10-01,,,,,,,,5.333333333333333,,,,,,,,,,,
1970-11-01,,,,,,,,7.7,,,,,,,,,,,
1970-12-01,,,,,,,,5.333333333333334,,,,,,,,,,,
1971-01-01,,,,,,,,2.966666666666667,,593845.0,3410.0,15597.0,12476.0,562362.0,,,,,
1971-02-01,,,,,,,,0.6,,566473.0,3410.0,15597.0,12476.0,534990.0,,,,,
1971-03-01,,,,,,,,1.5,,570047.0,3410.0,17597.0,12476.0,536564.0,,,,,
1971-04-01,,,,,,,,2.4,,570295.0,3410.0,17597.0,12476.0,536812.0,,,,,
1971-05-01,,,,,,,,3.3,,573831.0,3410.0,17628.0,12476.0,540317.0,,,,,
1971-06-01,,,,,,,,2.2666666666666666,,581458.0,3410.0,17628.0,12476.0,547944.0,,,,,
1971-07-01,,,,,,,,1.2333333333333334,,578871.0,3410.0,17628.0,12476.0,545357.0,,,,,
1971-08-01,,,,,,,,0.2,,575308.0,3410.0,17628.0,12476.0,541794.0,,,,,
1971-09-01,,,,,,,,0.4,,572022.0,3438.0,17628.0,12476.0,538480.0,,,,,
1971-10-01,,,,,,,,0.6000000000000001,,565585.0,3459.0,17627.0,12500.0,531999.0,,,,,
1971-11-01,,,,,,,,0.8,,571818.0,3459.0,17627.0,12500.0,538232.0,,,,,
1971-12-01,,,,,,,,1.0,,568087.0,3459.0,17627.0,12500.0,534501.0,,,,,
1972-01-01,,,,,,,,1.2,,578587.0,3561.0,26032.0,12500.0,536494.0,,,,,
1972-02-01,,,,,,,,1.4,,566273.0,3668.0,26032.0,12500.0,524073.0,,,,,
1972-03-01,,,,,,,,1.9333333333333331,,579251.0,3674.0,26032.0,12500.0,537045.0,,,,,
1972-04-01,,,,,,,,2.466666666666667,,564532.0,3676.0,26032.0,12500.0,522324.0,,,,,
1972-05-01,,,,,,,,3.0,,578280.0,3991.0,26087.0,12500.0,535702.0,,,,,
1972-06-01,,,,,,,,2.533333333333333,,610703.0,3991.0,28323.0,13571.0,564818.0,,,,,
1972-07-01,,,,,,,,2.066666666666667,,618216.0,3999.0,28323.0,13571.0,572323.0,,,,,
1972-08-01,,,,,,,,1.6,,661262.0,3999.0,28323.0,13571.0,615369.0,,,,,
1972-09-01,,,,,,,,2.5,,685694.0,4037.0,28323.0,13571.0,639763.0,,,,,
1972-10-01,,,,,,,,3.4,,709931.0,4038.0,28323.0,13571.0,663999.0,,,,,
1972-11-01,,,,,,,,4.3,,712297.0,4039.0,28323.0,13571.0,666364.0,,,,,
1972-12-01,,,,,,,,3.9666666666666663,,739745.0,4050.0,28323.0,13571.0,693801.0,,,,,
1973-01-01,,,,,,,,3.6333333333333333,,745039.0,4140.0,28323.0,13571.0,699005.0,,,,,
1973-02-01,,,,,,,,3.3,,737658.0,4140.0,28323.0,13571.0,691624.0,,,,,
1973-03-01,,,,,,,,3.6,,758310.0,4140.0,28323.0,13571.0,712276.0,,,,,
1973-04-01,,,,,,,,3.9,,814456.0,4140.0,28283.0,13571.0,768462.0,,,,,
1973-05-01,,,,,,,,4.2,,863061.0,4172.0,31493.0,13571.0,813825.0,,,,,
1973-06-01,,,,,,,,4.5,,899786.0,4172.0,31493.0,13571.0,850550.0,,,,,
1973-07-01,,,,,,,,4.8,,916498.0,4172.0,31493.0,13571.0,867262.0,,,,,
1973-08-01,,,,,,,,5.1,,934678.0,4172.0,31493.0,13571.0,885442.0,,,,,
1973-09-01,,,,,,,,3.8666666666666663,,1032234.0,4172.0,31493.0,13571.0,982998.0,,,,,
1973-10-01,,,,,,,,2.6333333333333333,,1046302.0,4636.0,31493.0,15079.0,995094.0,,,,,
1973-11-01,,,,,,,,1.4,,1054983.0,4636.0,31492.0,24120.0,994735.0,,,,,
1973-12-01,,,,,,,,2.3333333333333335,,1094407.0,4636.0,31492.0,24120.0,1034159.0,,,,,
1974-01-01,,,,,,,,3.2666666666666666,,1075107.0,4636.0,31492.0,24120.0,1014859.0,,,,,
1974-02-01,,,,,,,,4.2,,1050733.0,4637.0,31492.0,24120.0,990484.0,,,,,
1974-03-01,,,,,,,,2.7,,1031061.0,4638.0,31492.0,24120.0,970811.0,,,,,
1974-04-01,,,,,,,,1.2000000000000002,,1056600.0,4638.0,31492.0,24120.0,996350.0,,,,,
1974-05-01,,,,,,,,-0.3,,1055432.0,4638.0,31559.0,24120.0,995115.0,,,,,
1974-06-01,,,,,,,,0.3333333333333334,,1044816.0,4638.0,31521.0,24120.0,984537.0,,,,,
1974-07-01,,,,,,,,0.9666666666666668,,1045101.0,4638.0,31521.0,24120.0,984822.0,,,,,
1974-08-01,,,,,,,,1.6,,1013476.0,4653.0,31521.0,0.0,977302.0,,,,,
1974-09-01,,,,,,,,0.9666666666666667,,1015854.0,4653.0,31395.0,0.0,979806.0,,,,,
1974-10-01,,,,,,,,0.33333333333333326,,1015933.0,4653.0,31395.0,0.0,979885.0,,,,,
1974-11-01,,,,,,,,-0.3,,1010261.0,4653.0,30919.0,0.0,974689.0,,,,,
1974-12-01,,,,,,,,0.26666666666666666,,1055650.0,4653.0,1652.0,0.0,1049345.0,,,,,
1975-01-01,,,,,,,,0.8333333333333333,,943752.0,4653.0,1607.0,0.0,937492.0,,,,,
1975-02-01,,,,,,,,1.4,,922579.0,4653.0,4141.0,0.0,913785.0,,,,,
1975-03-01,,,,,,,,2.5,,886979.0,4653.0,2599.0,0.0,879727.0,,,,,
1975-04-01,,,,,,,,3.6,,963587.0,4653.0,2641.0,8.0,956285.0,,,,,
1975-05-01,,,,,,,,4.7,,981936.0,4656.0,3564.0,7.0,973709.0,,,,,
1975-06-01,,,,,,,,4.1,,1097315.0,4656.0,3140.0,7.0,1089512.0,,,,,
1975-07-01,,,,,,,,3.5,,1138693.0,4656.0,2789.0,7.0,1131241.0,,,,,
