,기준금리(연%),가계대출금리(연%),소비자물가지수_총(2020=100),원화환율(원/달러),주택매매가격지수(2022.01=100),콜금리(연%),국고채3년금리(연%),경제성장률,실업률(%),외환보유액_총(천달러),외환보유액_금(천달러),외환보유액_특별인출권(천달러),외환보유액_IMF포지션(천달러),외환보유액_예치금및유가증권(천달러)
1999-05-01,4.75,11.0,61.712,1197.0,38.374,4.8,6.75,4.4,6.8,61409325.0,66683.0,10831.0,280487.0,61051324.0
1999-06-01,4.75,10.46,61.349,1169.63,38.374,4.81,6.88,3.8666666666666667,7.3,61987062.0,66683.0,11556.0,278952.0,61629871.0
1999-07-01,4.75,10.31,61.14,1186.04,38.498,4.84,7.89,3.333333333333333,7.0,64944463.0,66683.0,11787.0,284546.0,64581447.0
1999-08-01,4.75,10.22,61.765,1199.79,38.747,4.75,8.91,2.8,6.4,64782273.0,66683.0,14706.0,283925.0,64416959.0
1999-09-01,4.75,10.21,61.921,1196.97,39.037,4.74,9.33,2.833333333333333,5.7,65480127.0,66683.0,14909.0,287843.0,65110692.0
1999-10-01,4.75,10.28,62.389,1206.38,39.078,4.75,8.28,2.8666666666666667,5.4,66214040.0,66683.0,14917.0,288002.0,65844438.0
1999-11-01,4.75,10.18,62.284,1177.22,38.954,4.75,8.46,2.9,5.2,69681116.0,66683.0,4420.0,286379.0,69323634.0
1999-12-01,4.75,10.08,62.18,1138.39,38.871,4.77,8.85,2.5666666666666664,5.1,74054541.0,67078.0,688.0,286488.0,73700287.0
2000-01-01,4.75,10.14,62.456,1131.07,38.995,4.77,9.28,2.2333333333333334,5.0,76999820.0,67078.0,68651.0,283572.0,76580519.0
2000-02-01,5.0,10.04,62.647,1128.8,39.161,5.0,8.99,1.9,4.9,79726833.0,67078.0,1354.0,279321.0,79379080.0
2000-03-01,5.0,10.05,62.962,1117.19,39.327,5.1,9.06,1.7,4.6,83648210.0,67379.0,1360.0,280423.0,83299048.0
2000-04-01,5.0,9.96,62.709,1109.76,39.368,5.1,8.95,1.5,4.5,84612868.0,67379.0,73890.0,275200.0,84196399.0
