,기업대출(십억원),가계대출_총(십억원),가계대출_주택(십억원),가계대출_기타(십억원),국채(십억원)
2007-01-01,343611.7,346013.5,241824.7,104188.7,24203.895
2007-02-01,348538.3,347940.5,242810.7,105129.8,27268.612
2007-03-01,356374.1,348640.1,243568.7,105071.5,30867.959
2007-04-01,366182.7,349946.7,243687.2,106259.5,28445.735
2007-05-01,373640.2,350100.5,242448.4,107652.1,25244.952
2007-06-01,384660.6,350828.7,242978.7,107850.0,34685.64
2007-07-01,389858.4,352543.9,243260.9,109283.0,27630.786
2007-08-01,395292.8,355903.6,243726.9,112176.7,30207.644
2007-09-01,406332.9,356840.1,244043.8,112796.3,24763.494
2007-10-01,415823.9,360700.3,244938.9,115761.5,33609.292
2007-11-01,428812.8,363976.1,246237.5,117738.7,37786.464
2007-12-01,425361.9,363680.9,245763.5,117917.5,17403.744
2008-01-01,436590.8,363014.3,245837.1,117177.2,35381.286
2008-02-01,441045.4,365346.3,244289.9,121056.3,33054.963
2008-03-01,449346.1,367714.4,244820.4,122894.0,35471.743
2008-04-01,461008.7,371091.0,246775.0,124316.1,31382.099
2008-05-01,467435.9,373854.5,248067.6,125786.9,34631.236
2008-06-01,475765.9,376970.1,248748.4,128221.7,33012.022
2008-07-01,486129.8,379360.3,250506.5,128853.8,31470.773
2008-08-01,491904.5,381537.8,251063.1,130474.6,26167.368
2008-09-01,498809.9,383639.1,251989.9,131649.2,24445.715
2008-10-01,509250.4,385075.5,252146.6,132928.9,19056.617
2008-11-01,514352.0,386993.2,253220.0,133773.2,25313.035
2008-12-01,509074.6,388573.2,254735.7,133837.4,33340.847
2009-01-01,514828.2,387191.2,256007.3,131183.9,35190.781
2009-02-01,516457.0,390169.5,258510.8,131658.7,42228.019
2009-03-01,522656.9,392118.2,260443.8,131674.4,53348.937
2009-04-01,525086.4,393425.9,261221.1,132204.8,44198.996
2009-05-01,526086.8,396306.7,263341.3,132965.4,33342.834
2009-06-01,524692.2,400321.8,266485.2,133836.6,50955.884
2009-07-01,526110.8,402980.1,269494.5,133485.6,40829.671
2009-08-01,529608.3,405960.4,271880.1,134080.3,42668.868
2009-09-01,532693.9,405030.9,270048.8,134982.2,46221.065
2009-10-01,531242.3,406447.8,271243.7,135204.1,39489.429
2009-11-01,534335.6,409047.4,272352.6,136694.8,45405.796
